Column1,Column2,Column3
2.4153244,0.112593375,2.302731
2.416722,0.114226125,2.302496
2.4149675,0.11235054,2.302617
2.413293,0.110889584,2.3024032
2.4107268,0.10856097,2.3021657
2.4150078,0.11263166,2.3023763
2.412906,0.11077941,2.3021264
2.4095798,0.107647456,2.3019323
2.4105024,0.10885032,2.3016522
2.4137807,0.11216974,2.301611
2.4105887,0.10930501,2.3012838
2.4095047,0.109071456,2.3004332
2.40663,0.105430804,2.3011992
2.4085977,0.10775681,2.3008409
2.4088383,0.108163424,2.300675
2.4087763,0.1090057,2.2997706
2.4075623,0.10788363,2.2996786
2.4027977,0.10401815,2.2987795
2.4042883,0.1069159,2.2973723
2.405716,0.107535355,2.2981806
2.4050734,0.105969645,2.2991037
2.4049566,0.10712651,2.29783
2.3997736,0.10387808,2.2958956
2.4021883,0.10543007,2.2967582
2.4004483,0.10420948,2.296239
2.3952627,0.10133638,2.2939262
2.3955202,0.10116731,2.294353
2.397984,0.10283412,2.2951498
2.3966818,0.103087656,2.2935941
2.395597,0.1029066,2.2926903
2.3935149,0.101393886,2.292121
2.3974967,0.103701875,2.2937949
2.3912847,0.10105292,2.2902317
2.388742,0.098454066,2.290288
2.3918917,0.10145633,2.2904353
2.3877645,0.09892499,2.2888396
2.3874717,0.09892762,2.2885442
2.3824935,0.09660059,2.285893
2.386275,0.09955851,2.2867165
2.3794522,0.09888166,2.2805705
2.384896,0.10177603,2.28312
2.3837779,0.099809006,2.283969
2.3794334,0.09476303,2.2846704
2.3765602,0.0965697,2.2799904
2.3749502,0.09400004,2.28095
2.3726788,0.09625629,2.2764225
2.368862,0.09467487,2.274187
2.374506,0.09613378,2.2783723
2.3635142,0.09544948,2.2680647
2.3624082,0.093922496,2.2684855
2.3672366,0.091591954,2.2756448
2.3621094,0.09317659,2.2689328
2.360555,0.09427569,2.2662792
2.3521042,0.091002524,2.2611017
2.3597915,0.09098349,2.2688081
2.3444057,0.09192329,2.2524824
2.362377,0.0914859,2.270891
2.3511703,0.09086342,2.2603068
2.3417659,0.088749215,2.2530167
2.3484578,0.089712724,2.2587452
2.3392155,0.0880502,2.2511654
2.3513613,0.08982146,2.26154
2.3380382,0.08854507,2.2494931
2.3326204,0.08637454,2.2462459
2.3308299,0.08693196,2.243898
2.3240776,0.08688262,2.237195
2.3137553,0.084002905,2.2297523
2.3282495,0.08804732,2.2402022
2.316155,0.08621573,2.2299392
2.3213847,0.084291846,2.2370927
2.3197765,0.08581921,2.2339573
2.3128128,0.084951304,2.2278614
2.3200982,0.08567105,2.2344272
2.2910805,0.08418799,2.2068925
2.29926,0.0826122,2.2166476
2.2986052,0.08132859,2.2172766
2.2894654,0.08221537,2.20725
2.284631,0.0840937,2.2005372
2.2992392,0.082057476,2.2171817
2.2805674,0.08335499,2.1972125
2.2726674,0.081022285,2.1916451
2.2916458,0.08254966,2.2090962
2.2843819,0.08250948,2.2018723
2.2985,0.08004614,2.218454
2.295421,0.08191023,2.2135108
2.2407079,0.08069801,2.1600099
2.255525,0.078823306,2.1767018
2.2466478,0.07671466,2.169933
2.260525,0.07955532,2.1809697
2.2479877,0.07797461,2.1700132
