Column1,Column2,Column3
2.4115756,0.11103743,2.300538
2.4134195,0.113027394,2.3003922
2.4120297,0.11326026,2.2987695
2.4114523,0.112017475,2.299435
2.4101136,0.11018734,2.2999263
2.411004,0.11285279,2.2981513
2.4062753,0.10983601,2.2964392
2.4075825,0.11086295,2.2967196
2.400372,0.10467823,2.2956939
2.4040875,0.10896906,2.2951186
2.4030116,0.10816876,2.2948427
2.405551,0.10991046,2.2956405
2.3988771,0.10687495,2.2920022
2.3962615,0.108294785,2.2879667
2.3986406,0.10912561,2.289515
2.3964744,0.10711919,2.2893553
2.3980656,0.10672357,2.291342
2.3978536,0.10651621,2.2913375
2.3913863,0.105381735,2.2860045
2.3987408,0.10992313,2.2888176
2.393004,0.10677612,2.286228
2.3940477,0.10788448,2.2861633
2.3837821,0.1054828,2.2782993
2.3909028,0.1056669,2.285236
2.3886802,0.10458964,2.2840905
2.3881907,0.10744343,2.2807474
2.3837569,0.101630464,2.2821264
2.3719912,0.10406946,2.2679217
2.3825102,0.10627791,2.2762322
2.3725011,0.1044684,2.2680328
2.3731773,0.101082176,2.2720952
2.367147,0.10114714,2.2659998
2.3677192,0.10176446,2.2659547
2.367269,0.10239895,2.2648702
2.366078,0.10402958,2.2620482
2.3621793,0.102584064,2.2595952
2.354009,0.09859813,2.2554107
2.3514354,0.09845094,2.2529845
2.3566065,0.0996227,2.2569838
2.3542922,0.10207544,2.2522168
2.3386488,0.09947393,2.2391748
2.3293805,0.10008678,2.2292938
2.3459039,0.096882015,2.2490218
2.3459704,0.09919255,2.2467778
2.3407335,0.09895998,2.2417736
2.3361459,0.096962444,2.2391834
2.332309,0.09922616,2.2330828
2.3269093,0.09479898,2.2321103
2.3469882,0.098781295,2.2482069
2.312953,0.09631252,2.2166405
2.32268,0.09277877,2.2299013
2.3136225,0.093065664,2.2205567
2.329936,0.093138814,2.2367973
2.3271961,0.09437853,2.2328176
2.3078172,0.095732376,2.2120848
2.295515,0.09551782,2.1999972
2.310521,0.09495198,2.215569
2.3119824,0.09242122,2.219561
2.2864885,0.091965266,2.1945233
2.2964745,0.091583826,2.2048907
2.2675261,0.08708294,2.1804433
2.2746422,0.090854004,2.1837883
2.2812889,0.08831838,2.1929705
2.2548687,0.090095304,2.1647735
2.2961044,0.09069838,2.205406
2.284098,0.088481605,2.1956162
2.275698,0.08988003,2.185818
2.269232,0.08641757,2.1828144
2.2586248,0.08663191,2.1719928
2.2959502,0.08725525,2.208695
2.232081,0.084996864,2.147084
2.2594914,0.08788722,2.1716042
2.2598095,0.08637526,2.1734343
2.2455924,0.0873731,2.1582193
2.2665431,0.08487049,2.1816726
2.2433863,0.08690698,2.1564794
2.2191632,0.08515708,2.134006
2.252879,0.08620948,2.1666694
2.238795,0.08498243,2.1538126
2.2077572,0.08535404,2.1224031
2.2261276,0.083092265,2.1430354
2.2639966,0.083210446,2.1807861
2.2316887,0.08318638,2.1485023
2.2150989,0.082473345,2.1326256
2.1978896,0.08061133,2.1172783
2.193136,0.080031745,2.1131043
2.1772928,0.08149445,2.0957985
2.1953282,0.08185759,2.1134706
2.2364044,0.07999236,2.1564121
